Datetime,Close,Position
2018-02-08 10:30,763.1,-1
2018-02-08 11:00,759.8,-1
2018-02-08 11:30,759.8,-1
2018-02-08 13:00,761.6,-1
2018-02-08 13:30,761.2,-1
2018-02-08 14:00,756.8,-1
2018-02-08 14:30,752.6,-1
2018-02-09 9:00,720.9,-1
2018-02-09 9:30,724.9,-1
2018-02-09 10:00,728.5,0
2018-02-09 10:30,728.5,0
2018-02-09 11:00,729.7,0
2018-02-09 11:30,729.8,0
2018-02-09 13:00,734.4,0
2018-02-09 13:30,738.9,0
2018-02-09 14:00,746.4,0
2018-02-09 14:30,748.5,0
2018-02-12 9:00,759,0
2018-02-12 9:30,759,0
2018-02-12 10:00,757.2,0
2018-02-12 10:30,756.5,-1
2018-02-12 11:00,757.4,-1
2018-02-12 11:30,757.2,-1
2018-02-12 13:00,759.6,-1
2018-02-12 13:30,765,0
2018-02-12 14:00,772.5,0
2018-02-12 14:30,778.7,0
2018-02-13 9:00,785.2,0
2018-02-13 9:30,784,0
2018-02-13 10:00,786,1
2018-02-13 10:30,788.2,1
2018-02-13 11:00,787,0
2018-02-13 13:00,790.4,0
2018-02-13 13:30,790.3,0
2018-02-13 14:00,792,0
2018-02-13 14:30,789.3,0
2018-02-21 9:00,808.1,-1
2018-02-21 9:30,809.8,1
2018-02-21 10:00,809.8,1
2018-02-21 10:30,810.7,1
2018-02-21 11:00,812.4,1
2018-02-21 11:30,812.1,1
2018-02-21 13:00,815.7,1
2018-02-21 13:30,816.8,1
2018-02-21 14:00,811.8,0
2018-02-21 14:30,810.7,0
2018-02-22 9:00,807.7,0
2018-02-22 9:30,808.7,0
2018-02-22 10:00,810.7,0
2018-02-22 10:30,806.3,0
2018-02-22 11:00,805,0
2018-02-22 11:30,804.8,0
2018-02-22 13:00,809.8,0
2018-02-22 13:30,806.4,1
2018-02-22 14:00,800.2,1
2018-02-22 14:30,798,1
2018-02-23 9:00,805.3,1
2018-02-23 9:30,804.3,1
2018-02-23 10:00,806.1,1
2018-02-23 10:30,806.8,1
2018-02-23 11:00,805.7,1
2018-02-23 11:30,806,1
2018-02-23 13:00,811.4,1
2018-02-23 13:30,814.2,1
2018-02-23 14:00,821.7,1
2018-02-23 14:30,828.6,1
2018-02-26 9:00,840,1
2018-02-26 9:30,839.5,1
2018-02-26 10:00,838.7,0
2018-02-26 10:30,842.1,0
2018-02-26 11:00,839.6,0
2018-02-26 11:30,839.6,0
2018-02-26 13:00,843.8,0
2018-02-26 13:30,836.5,0
2018-02-26 14:00,824.2,0
2018-02-26 14:30,824.4,0
2018-02-27 9:00,837.7,0
2018-02-27 9:30,829.4,0
2018-02-27 10:00,834.8,1
2018-02-27 10:30,837.9,1
2018-02-27 11:00,833.7,1
2018-02-27 11:30,833.6,1
2018-02-27 13:00,830.8,1
2018-02-27 13:30,821.8,1
2018-02-27 14:00,830,1
2018-02-27 14:30,830,1
